Date;WORLD;NORDIC COUNTRIES;NORTH AMERICA;PACIFIC;EUROPE;JAPAN;USA;UNITED KINGDOM;SINGAPORE;HONG KONG;AUSTRALIA;FRANCE;NORWAY;ITALY;GERMANY;NETHERLANDS;SWEDEN;SWITZERLAND;BELGIUM;CANADA;DENMARK
1969-12;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000;100.000
1970-01;94.528;97.544;93.641;98.209;99.230;98.486;92.886;99.383;98.978;105.587;96.920;103.938;104.033;104.183;95.232;94.638;96.232;97.500;101.067;102.493;100.678
1970-02;97.558;92.511;98.756;98.928;96.248;99.768;98.130;94.182;100.575;113.115;95.850;101.171;102.299;101.428;92.512;95.525;90.238;95.886;101.267;107.088;99.241
1970-03;97.947;94.845;99.416;101.497;97.560;103.893;98.729;96.612;98.053;117.773;95.575;100.130;107.371;105.097;93.390;96.899;92.891;95.857;101.957;108.227;96.918
1970-04;88.877;86.881;90.758;90.138;90.490;91.389;90.200;86.858;91.945;118.334;84.926;94.308;104.613;104.872;89.142;90.929;83.629;86.782;100.935;95.896;93.411
1970-05;83.357;81.656;85.482;86.791;85.756;89.027;85.125;82.614;91.681;115.137;79.470;91.884;100.616;95.026;80.844;88.813;77.980;84.604;97.124;86.828;89.913
1970-06;81.389;86.575;82.650;91.394;86.867;90.730;81.667;86.466;92.387;120.788;89.789;89.812;105.803;90.617;77.929;88.925;83.570;85.101;98.128;91.242;90.127
1970-07;86.525;92.789;88.733;92.792;91.099;90.997;87.823;89.798;93.348;129.612;92.703;95.094;113.389;93.198;82.744;96.773;91.045;88.384;104.009;97.821;86.911
1970-08;89.464;90.201;92.361;92.167;91.882;90.094;91.445;89.704;92.459;135.158;92.038;94.766;124.906;93.299;83.787;103.306;85.350;92.324;103.779;102.311;91.658
1970-09;92.438;88.669;95.711;91.579;92.984;89.131;94.574;95.070;93.325;132.970;92.216;92.184;128.526;91.074;82.492;101.658;83.328;88.406;104.731;109.037;88.686
1970-10;91.164;82.813;94.990;89.537;92.609;90.358;93.910;94.962;94.218;129.165;83.818;93.619;131.298;87.081;81.325;101.773;74.867;87.338;106.340;107.571;90.969
1970-11;93.296;87.876;100.067;86.819;88.470;87.839;99.080;88.586;93.188;135.149;79.769;92.919;130.519;85.424;78.446;91.623;81.398;83.876;104.938;112.744;92.421
1970-12;98.017;88.100;105.565;88.008;90.645;88.621;104.830;94.235;96.148;145.362;80.809;94.830;134.215;82.422;76.160;93.449;80.997;86.797;107.181;115.836;93.467
1971-01;102.615;93.941;110.294;90.948;94.606;93.552;109.712;94.634;102.399;152.572;79.039;99.711;144.280;83.551;87.160;95.937;87.038;94.620;116.396;119.716;94.663
1971-02;103.788;96.927;111.432;93.008;94.991;97.927;110.885;93.033;101.441;145.231;77.621;99.162;144.716;86.040;90.951;96.272;91.263;95.189;119.681;119.574;92.440
1971-03;108.435;97.307;115.960;99.611;98.215;106.087;115.446;101.160;103.769;146.230;81.960;97.337;130.560;83.133;91.874;97.590;94.244;100.240;117.423;124.909;89.542
1971-04;112.068;95.908;120.000;102.572;102.381;111.659;119.987;112.496;106.325;157.685;79.033;97.379;137.582;80.460;86.343;102.131;91.332;103.141;121.092;124.645;89.927
1971-05;109.500;100.305;115.562;102.049;105.314;110.941;115.381;116.771;116.870;170.784;76.873;102.741;156.007;75.217;90.516;103.583;94.607;99.284;122.671;121.303;89.151
1971-06;110.702;103.494;116.295;110.204;106.294;121.637;116.229;118.905;121.023;207.468;77.642;100.850;177.327;75.091;90.781;102.501;95.675;104.020;124.006;120.632;89.617
1971-07;109.019;104.130;112.600;109.610;111.207;122.295;112.147;127.017;127.265;205.337;74.590;103.788;172.437;72.346;95.577;104.452;96.383;106.380;128.914;120.928;94.419
1971-08;111.488;106.270;117.191;105.251;111.187;114.296;116.828;128.899;131.310;243.702;72.106;100.990;178.525;70.580;93.843;99.857;97.707;107.597;127.624;125.772;98.528
1971-09;110.515;103.508;115.810;105.838;109.093;118.163;115.434;129.170;142.749;257.990;65.038;92.517;166.678;67.828;92.894;94.191;95.569;103.853;123.823;124.729;99.454
1971-10;106.433;105.162;111.614;103.070;105.571;113.602;111.371;125.963;147.369;251.268;65.387;86.607;149.466;69.213;85.958;90.869;99.916;96.165;120.801;118.794;99.532
1971-11;107.426;109.876;112.174;105.905;108.566;121.595;111.897;129.396;152.739;191.517;64.457;92.601;145.535;67.661;88.326;88.714;106.831;106.267;124.836;118.485;97.118
1971-12;117.193;114.766;119.518;122.116;116.064;137.317;118.976;139.603;157.439;234.680;79.501;96.386;159.359;72.593;94.953;95.071;110.354;110.626;131.093;132.233;102.994
1972-01;121.582;118.758;122.221;128.195;123.074;148.362;121.455;147.454;168.126;232.448;77.068;102.747;155.837;75.357;101.939;102.386;115.011;119.988;139.478;138.434;109.319
1972-02;126.354;118.333;125.722;139.795;129.869;161.969;124.948;156.631;179.833;241.072;85.016;109.571;154.391;70.531;110.614;107.986;114.026;126.115;146.785;143.148;113.490
1972-03;128.197;125.648;127.644;147.103;133.594;170.436;126.991;157.251;215.271;253.053;87.899;123.221;160.328;71.858;116.598;106.259;122.696;129.529;154.211;143.490;112.991
1972-04;129.991;128.179;127.947;153.043;136.245;179.437;127.288;162.391;219.933;283.063;86.271;126.640;158.735;75.785;113.643;106.812;125.091;129.206;153.278;144.268;120.121
1972-05;132.732;125.760;128.339;164.378;138.664;194.676;127.239;159.362;216.938;308.303;90.094;134.174;157.287;78.344;116.862;119.358;120.475;138.806;155.763;152.174;131.530
1972-06;129.744;130.518;126.504;170.750;131.783;202.531;125.054;144.851;225.793;324.697;92.602;129.073;177.434;78.900;115.110;116.154;121.916;128.821;157.539;155.318;144.730
1972-07;131.847;133.692;125.976;181.121;138.789;219.908;124.441;153.165;258.070;353.671;87.456;137.926;182.855;77.316;121.760;123.188;124.874;137.744;166.953;154.899;147.287
1972-08;135.690;139.085;130.841;183.957;139.771;225.420;129.073;154.264;268.951;325.922;88.081;139.114;188.296;77.832;119.092;124.286;130.463;142.254;165.193;165.655;151.261
1972-09;133.722;137.147;131.193;190.019;131.657;235.724;129.375;137.493;258.058;355.849;85.365;137.283;178.144;76.985;114.894;117.939;129.636;141.534;165.851;164.794;149.317
1972-10;134.917;139.394;132.699;200.394;131.520;243.398;131.162;137.254;273.730;457.128;90.653;131.781;169.969;78.678;112.651;119.123;128.127;140.150;164.875;161.460;186.275
1972-11;142.094;144.231;137.830;230.145;135.167;286.819;136.315;147.078;359.144;481.407;93.600;123.151;173.358;85.902;114.390;121.357;132.158;135.578;166.597;169.105;197.814
1972-12;144.790;144.258;140.418;253.447;134.192;311.610;138.685;145.080;501.442;616.171;96.273;120.388;173.766;83.308;112.605;123.269;128.963;142.330;173.123;176.136;219.112
1973-01;145.225;154.995;137.650;262.265;134.904;316.923;135.496;135.967;582.733;720.907;99.534;128.956;202.920;77.410;119.840;130.032;134.752;148.461;185.225;175.909;246.367
1973-02;146.320;165.391;131.793;295.635;144.407;343.744;129.271;138.001;513.532;1354.275;100.731;146.231;223.079;87.712;130.327;140.895;143.466;160.274;216.373;172.243;259.208
1973-03;146.617;164.796;130.515;288.726;148.572;344.660;127.862;138.007;525.512;1069.798;100.652;154.641;255.038;96.022;137.669;147.010;139.036;157.175;219.082;172.697;254.514
1973-04;139.331;174.639;125.706;248.068;149.476;306.562;123.065;139.794;407.286;618.827;94.406;165.286;319.918;96.489;130.471;144.129;142.000;150.033;223.516;165.355;260.198
1973-05;139.013;188.591;123.628;257.671;151.756;314.579;121.224;144.328;501.274;631.768;102.356;170.304;370.715;106.656;122.867;143.934;151.015;165.248;233.888;158.983;273.892
1973-06;139.984;201.038;124.071;258.228;157.715;320.233;121.493;143.828;523.624;536.040;99.952;177.086;400.374;121.109;136.624;146.733;158.577;173.563;250.438;162.352;301.699
1973-07;143.420;204.749;129.003;272.154;149.433;339.740;126.387;133.414;491.310;593.188;101.925;166.554;399.609;95.173;131.960;147.048;161.244;161.502;242.928;171.435;315.573
